
"Robert Morris",97.590372408708,111.41756604583,0.17889957985276,3–15,3,18,50.5,54.6,26.1,34.6,19,18.7,29.5,33.5,68.4,48.3,52.4,36.5,38.9,7.5,6.8,57.9,53.5,34.1,37.4,68,,,,2021,,,,-12.240345210304,65.5,72
Seattle,97.127632586186,101.27586010744,0.38202665625749,8–11,8,19,46.5,50.5,28.4,40.4,15.7,21.7,26.3,30.1,70.4,45.6,50,31.8,34.3,8.4,8,43.8,53.8,41.8,35.9,70.3,,,,2021,,,,-7.7647594299776,72.8,75.7
Villanova,118.50961738226,97.146845222433,0.90769916066474,16–6,16,22,52.8,51.8,30,25.8,13.5,19,27.9,24.8,66.2,52.8,51,35.2,35.4,4.4,8.9,57.8,48.7,44.6,40.6,65.9,,,,2021,,,,3.064700986798,76.5,68.2
Howard,96.950134756291,116.15414263077,0.11122434481687,1–3,1,4,51.1,53.5,37.1,27.1,18.5,12.6,20.4,31.2,73.1,50.4,55.9,34.6,33.9,13.8,8.8,64.6,65,45.4,46.1,72.7,,,,2021,,,,-2.3821486639516,68.2,69.9
"Utah St.",104.35885927041,89.042806484853,0.86119614790091,19–8,19,27,49.8,45.6,29.4,26.1,19.7,19.7,35.3,21.3,69.5,49.6,42.9,33.6,33,14.6,8.8,60.6,51.7,32.5,40.2,69.9,,,,2021,,,,-1.1316746018858,71.8,73.8
Marist,91.806812985036,99.304915221856,0.28846549838112,12–9,12,21,49.1,45.7,31.5,32.2,21.4,18,23,25.4,66.8,50.8,45.3,31,30.9,12.4,9,48.2,54.3,41.2,42.5,67.2,,,,2021,,,,-7.3761291697688,68.4,69.3
"Portland St.",91.661439124819,98.570451209336,0.30244072883564,6–12,6,18,44.4,50.8,34.6,46.7,20,22.7,30.5,23.6,69.7,44.8,49.1,29.2,36.1,8.2,7.9,43,53.9,38.9,33,70.2,,,,2021,,,,-9.4991954298388,67.4,69.5
Denver,93.236872248893,112.3836094123,0.10452663126481,1–19,1,20,49.8,55.8,34.1,43,20.9,19,22,26.1,71.5,48.6,53.8,34.8,39.3,7.1,9.3,47.7,42.4,34.6,37.8,71.8,,,,2021,,,,-16.507415314949,72.1,77.2
"Cal St. Northridge",99.780905946505,110.66300324154,0.23318803881667,8–13,8,21,48.4,54.3,31.7,32.4,16.7,18.7,24.3,28.9,70.5,47.2,54.2,33.5,36.4,5.6,6.7,50.9,54.8,37.7,39.7,71.4,,,,2021,,,,-9.4986430415287,72.6,77
Maryland,110.06553167143,94.178324339228,0.85725646823466,15–13,15,28,52.6,48.5,32.6,25.6,16.8,16.9,20.9,24.8,65.6,52.8,46.4,34.9,34.3,10.3,8.8,53.7,52.3,43,41.8,66.3,,,,2021,,,,0.059908230508797,70.3,71.7
